ISO.code,Year,imp_sum,loans_sum,avg_nim,corp_avg,households_avg,policy_avg,Country,GDP_per_capita,DFR,MLF,MRO,Inflation
IE,2012,88.865307,478693493.013171,1.10356266666667,2.87666666666667,6.88916666666667,0.881147540983607,Ireland,36097.68,0.131147541,1.631147541,0.881147541,1.9
IE,2013,94.623604,472438147.399963,1.53893866666667,2.65666666666667,6.725,0.553424657534246,Ireland,36837.37,0,1.140410959,0.553424658,0.5
IE,2014,86.038161,393862605.76864,1.66230955555556,2.48666666666667,6.53916666666667,0.163150684931507,Ireland,39533.12,-0.086849315,0.523424658,0.163150685,0.3
IE,2015,64.362178,341023151.970397,1.82706566666667,1.97166666666667,6.05166666666667,0.05,Ireland,54000.01,-0.20630137,0.3,0.05,0
IE,2016,56.526548,302163438.981513,1.962496,1.70333333333333,5.80666666666667,0.0102459016393442,Ireland,53255.64,-0.379508197,0.260245902,0.010245902,-0.2
IE,2017,45.931773,330639766.147187,1.90919822222222,1.5775,5.6175,0,Ireland,57938.89,-0.4,0.25,0,0.3
IE,2018,30.814147,308489612.472176,1.97622,1.47833333333333,5.62166666666667,0,Ireland,61500.24,-0.4,0.25,0,0.7
IE,2019,19.670038,307363588.916996,1.88387255555556,1.40166666666667,5.62833333333333,0,Ireland,63023.71,-0.42876712300000003,0.25,0,0.9
IE,2020,26.081017,326283609.628112,1.88625633333333,1.37,5.27666666666667,0,Ireland,65952.6,-0.5,0.25,0,-0.5
IE,2021,21.528892,297590536.955932,1.91890988888889,1.33916666666667,5.21666666666667,0,Ireland,78662.17,-0.5,0.25,0,2.4
IE,2022,13.648327,278624314.464915,2.01056922222222,1.98833333333333,5.77583333333333,0.578767123287669,Ireland,89625.05,0.078767123,0.828767123,0.578767123,8.1
IE,2023,12.480445,315111174.714083,2.59309522222222,4.66416666666667,7.56916666666667,3.80753424657534,Ireland,84893.54,3.307534247,4.057534247,3.807534247,5.2
IT,2005,244.289281,1023323236.32754,0.691425927272727,3.35916666666667,6.99166666666667,2.01780821917808,Italy,25645.87,1.017808219,3.017808219,2.017808219,2.2
IT,2006,192.385245,1292567968.66438,2.24542567272727,4.07083333333333,6.96666666666667,2.76027397260274,Italy,26764.25,1.760273973,3.760273973,2.760273973,2.2
IT,2007,188.167721,1871016481.14098,2.37315916363636,5.09083333333333,7.58,3.83904109589041,Italy,27900.74,2.839041096,4.839041096,3.839041096,2
IT,2008,122.493744,2043625572.14242,2.19708041818182,5.4075,7.98,3.90027322404372,Italy,28487.63,3.005464481,4.775956284,3.900273224,3.5
IT,2009,138.176616,2022006730.56276,1.97423952727273,2.89166666666667,7.25416666666667,1.27876712328767,Italy,27350.79,0.465753425,2.091780822,1.278767123,0.8
IT,2010,155.399759,2074780404.18396,1.82051656363636,2.555,6.775,1,Italy,27677.6,0.25,1.75,1,1.6
IT,2011,185.111229,2040824288.79816,1.81582847272727,3.1875,7.0241666666666696,1.24931506849315,Italy,28334.2,0.499315068,1.999315068,1.249315068,2.9
IT,2012,257.409646,2045600687.19235,1.81282027272727,2.87666666666667,6.88916666666667,0.881147540983607,Italy,28015.89,0.131147541,1.631147541,0.881147541,3.3
IT,2013,318.089857,2014419535.5497,1.66721858181818,2.65666666666667,6.725,0.553424657534246,Italy,27477.48,0,1.140410959,0.553424658,1.2
IT,2014,335.184594,1786866901.68582,1.54871621818182,2.48666666666667,6.53916666666667,0.163150684931507,Italy,27504.83,-0.086849315,0.523424658,0.163150685,0.2
IT,2015,413.660071,1596858752.69242,1.4477246,1.97166666666667,6.05166666666667,0.05,Italy,28162.64,-0.20630137,0.3,0.05,0.1
IT,2016,432.418495,1541878068.21474,1.29398601818182,1.70333333333333,5.80666666666667,0.0102459016393442,Italy,29464.46,-0.379508197,0.260245902,0.010245902,-0.1
IT,2017,379.688609,1845182097.24574,-0.3435358,1.5775,5.6175,0,Italy,30310.08,-0.4,0.25,0,1.3
